,year,tid,pid,AB,H,h2b,h3b,HR,TB,R,RBI,SB,BB,K,E,award,WAR,Wins
0,2018,51,5,650,0.703862660944,0.508196721311,0.0689655172414,0.515625,0.622129436326,0.382352941176,0.574193548387,0.0,0.205405405405,0.717703349282,0.176470588235,0,4.33501276692,65.0
1,2020,117,5,455,0.549356223176,0.245901639344,0.0344827586207,0.46875,0.490605427975,0.447058823529,0.503225806452,0.015625,0.383783783784,0.421052631579,0.117647058824,0,4.53105672297,90.0
2,2021,150,5,213,0.240343347639,0.114754098361,0.0,0.21875,0.219206680585,0.164705882353,0.212903225806,0.015625,0.189189189189,0.181818181818,0.235294117647,0,2.39567210758,85.0
3,2017,7,17,11,0.00858369098712,0.0,0.0,0.0,0.00417536534447,0.0,0.0,0.0,0.00540540540541,0.0143540669856,0.0,0,0.640067711978,79.0
4,2023,211,18,601,0.738197424893,0.590163934426,0.0,0.8125,0.759916492693,0.747058823529,0.741935483871,0.0,0.594594594595,0.430622009569,0.352941176471,0,7.05237540429,77.0
5,2024,244,18,545,0.669527896996,0.44262295082,0.0689655172414,0.65625,0.653444676409,0.605882352941,0.658064516129,0.0,0.437837837838,0.377990430622,0.411764705882,0,5.97984793176,82.0
6,2025,277,18,564,0.656652360515,0.360655737705,0.0689655172414,0.578125,0.605427974948,0.582352941176,0.548387096774,0.0,0.605405405405,0.421052631579,0.117647058824,0,6.01984793176,90.0
7,2026,310,18,535,0.721030042918,0.573770491803,0.0689655172414,0.765625,0.739039665971,0.752941176471,0.690322580645,0.0,0.513513513514,0.459330143541,0.176470588235,0,6.63127650319,83.0
8,2027,343,18,369,0.510729613734,0.44262295082,0.0689655172414,0.4375,0.488517745303,0.382352941176,0.490322580645,0.0,0.324324324324,0.258373205742,0.117647058824,0,4.73633144824,86.0
9,2028,376,18,530,0.652360515021,0.55737704918,0.241379310345,0.5,0.617954070981,0.441176470588,0.529032258065,0.0,0.410810810811,0.373205741627,0.176470588235,0,5.70644133835,81.0
10,2029,409,18,343,0.381974248927,0.360655737705,0.0344827586207,0.296875,0.35490605428,0.241176470588,0.290322580645,0.0,0.172972972973,0.258373205742,0.176470588235,0,3.25501276692,62.0
11,2022,183,28,323,0.420600858369,0.44262295082,0.275862068966,0.21875,0.382045929019,0.247058823529,0.322580645161,0.046875,0.0540540540541,0.282296650718,0.0,0,3.17281496473,91.0
12,2023,216,28,513,0.515021459227,0.377049180328,0.344827586207,0.28125,0.453027139875,0.488235294118,0.296774193548,0.109375,0.145945945946,0.526315789474,0.0,0,3.38556221747,92.0
13,2024,249,28,540,0.643776824034,0.573770491803,0.48275862069,0.453125,0.62630480167,0.505882352941,0.541935483871,0.171875,0.145945945946,0.555023923445,0.0588235294118,0,4.6558918878,93.0
14,2025,282,28,234,0.291845493562,0.213114754098,0.137931034483,0.1875,0.260960334029,0.2,0.21935483871,0.0625,0.0432432432432,0.234449760766,0.0588235294118,0,2.27874903066,78.0
15,2026,315,28,41,0.0257510729614,0.016393442623,0.0344827586207,0.0,0.0187891440501,0.0117647058824,0.0129032258065,0.0,0.0108108108108,0.0574162679426,0.0588235294118,0,0.64797979989,94.0
16,2017,27,42,434,0.49356223176,0.196721311475,0.0344827586207,0.078125,0.300626304802,0.270588235294,0.206451612903,0.21875,0.102702702703,0.473684210526,0.0588235294118,0,2.43743034934,78.0
17,2018,60,42,516,0.618025751073,0.213114754098,0.241379310345,0.0625,0.382045929019,0.329411764706,0.21935483871,0.390625,0.145945945946,0.483253588517,0.0588235294118,0,3.33633144824,73.0
18,2019,93,42,402,0.472103004292,0.262295081967,0.0689655172414,0.0625,0.296450939457,0.217647058824,0.225806451613,0.1875,0.124324324324,0.416267942584,0.0,0,2.58468309659,79.0
19,2020,126,42,478,0.570815450644,0.245901639344,0.0344827586207,0.140625,0.369519832985,0.205882352941,0.283870967742,0.171875,0.124324324324,0.507177033493,0.117647058824,0,2.94292485484,82.0
20,2017,20,48,611,0.751072961373,0.491803278689,0.0,0.234375,0.521920668058,0.405882352941,0.387096774194,0.015625,0.324324324324,0.511961722488,0.176470588235,0,4.65017760209,73.0
